Rank,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year,Country Code,Total Revenue 2022 (€),Population 2022,GDP 2022 (€)
899,rankeffect,Germany,Advertising & Marketing,176.1,40.3,2253000.0,816000.0,30,7,2016,DEU,3735278366.0,83797985,3824049172030.187
900,ingage IR,UK,IT & Software,176.1,40.3,2520901.0,956933.0,20,15,2013,GBR,5744139508.0,66971395,2893534419072.2114
901,Time,Italy,Manufacturing,175.9,40.3,4951682.0,1794898.0,22,11,1979,ITA,6072359015.0,58940425,1919988802837.6548
902,Lizergy,Germany,Energy & Utilities,175.8,40.2,7345448.0,2663124.0,27,12,2013,DEU,3735278366.0,83797985,3824049172030.187
903,PHSE,Italy,Logistics & Transportation,175.6,40.2,73267705.0,26584733.0,555,240,2002,ITA,6072359015.0,58940425,1919988802837.6548
904,TrenDevice,Italy,Ecommerce,175.1,40.1,19832874.0,7208384.0,43,13,1999,ITA,6072359015.0,58940425,1919988802837.6548
905,Company Imball,Italy,Wholesale,174.4,40.0,4768209.0,1737940.0,3,3,2018,ITA,6072359015.0,58940425,1919988802837.6548
906,Codenor,Spain,Construction & Engineering,174.3,40.0,12672853.0,4619540.0,23,19,2010,ESP,1443070953.0,47778340,1328053696748.224
907,WastePlus,Spain,Waste management & recycling,174.3,40.0,4014175.0,1463389.0,6,1,2016,ESP,1443070953.0,47778340,1328053696748.224
908,MBP Solutions,Switzerland,Waste management & recycling,174.2,40.0,204166073.0,74454632.0,123,80,2010,CHE,1154978447.0,8775760,766620149578.3816
909,Antares Energia,Italy,Energy & Utilities,173.8,39.9,9606537.0,3508193.0,9,6,2013,ITA,6072359015.0,58940425,1919988802837.6548
910,Portalia,France,Management Consulting,173.8,39.9,23558986.0,8603626.0,9,6,2016,FRA,3336947062.0,67971311,2603175697935.03
911,Vennes,Germany,Construction & Engineering,173.8,39.9,31396986.0,11466707.0,73,41,2003,DEU,3735278366.0,83797985,3824049172030.187
912,Tieffe Group,Italy,Logistics & Transportation,173.3,39.8,11926374.0,4363696.0,11,9,2012,ITA,6072359015.0,58940425,1919988802837.6548
913,Gallas Group,Italy,Employment Services,173.3,39.8,8432719.0,3085644.0,150,56,2012,ITA,6072359015.0,58940425,1919988802837.6548
914,Hydroprocess,France,Manufacturing,172.7,39.7,12173842.0,4463748.0,19,10,2006,FRA,3336947062.0,67971311,2603175697935.03
915,Gustavo Gusto,Germany,Food & Beverages,172.1,39.6,85252000.0,31334337.0,417,150,2016,DEU,3735278366.0,83797985,3824049172030.187
916,Optimisation Habitat Energie,France,Construction & Engineering,171.9,39.6,2155667.0,792732.0,14,7,2013,FRA,3336947062.0,67971311,2603175697935.03
917,Trafalgar Entertainment,UK,Leisure & Entertainment,171.8,39.6,137939240.0,53190630.0,1361,189,2016,GBR,5744139508.0,66971395,2893534419072.2114
918,Bioburger,France,Logistics & Transportation,171.6,39.5,14294382.0,5262883.0,255,100,2011,FRA,3336947062.0,67971311,2603175697935.03
919,Selectra Italia,Italy,Energy & Utilities,171.1,39.4,6397991.0,2359667.0,154,58,2015,ITA,6072359015.0,58940425,1919988802837.6548
920,Seats.io,Belgium,IT & Software,170.6,39.3,2668000.0,986000.0,4,4,2014,BEL,270972276.0,11685814,546504122379.75134
921,Aleas Cosmetics,Italy,Ecommerce,170.4,39.3,1625300.0,601067.0,5,2,2009,ITA,6072359015.0,58940425,1919988802837.6548
922,Assured Systems,UK,IT & Software,170.3,39.3,3673537.0,1424234.0,12,14,2011,GBR,5744139508.0,66971395,2893534419072.2114
923,Office In,France,Professional Scientific & Technical Services,170.3,39.3,8059480.0,2981531.0,8,5,2013,FRA,3336947062.0,67971311,2603175697935.03
924,Lemonway,France,Fintech Financial Services & Insurance,170.3,39.3,16311552.0,6035000.0,130,64,2007,FRA,3336947062.0,67971311,2603175697935.03
925,Rets,Poland,Professional Scientific & Technical Services,170.1,39.3,10601169.0,4337366.0,165,78,2014,POL,1863345656.0,36821749,644566697354.571
926,Sun Finance,Latvia,Fintech Financial Services & Insurance,169.9,39.2,273907906.0,101475796.0,1160,716,2017,LVA,318627491.0,1879383,38341032547.42697
927,Appkeep,Italy,Professional Scientific & Technical Services,169.9,39.2,2829065.0,1048173.0,15,9,2016,ITA,6072359015.0,58940425,1919988802837.6548
928,Leascorp,France,Fintech Financial Services & Insurance,169.9,39.2,37717313.0,13976926.0,17,4,2014,FRA,3336947062.0,67971311,2603175697935.03
929,Comal,Italy,Energy & Utilities,169.8,39.2,61104520.0,22648926.0,121,65,2001,ITA,6072359015.0,58940425,1919988802837.6548
930,Aforti,Poland,Fintech Financial Services & Insurance,169.6,39.2,594582704.0,243696946.0,209,203,2009,POL,1863345656.0,36821749,644566697354.571
931,Cast Group,Italy,Mechanical & Plant Engineering,169.5,39.2,10241804.0,3800201.0,18,12,2009,ITA,6072359015.0,58940425,1919988802837.6548
932,Vypr,UK,IT & Software,169.5,39.2,2335752.0,908326.0,27,14,2013,GBR,5744139508.0,66971395,2893534419072.2114
933,eatventure®,Germany,Ecommerce,169.3,39.1,1891525.0,702379.0,31,10,2016,DEU,3735278366.0,83797985,3824049172030.187
934,Imec Service,Italy,Media & Telecommunications,169.2,39.1,8945000.0,3323343.0,55,33,2008,ITA,6072359015.0,58940425,1919988802837.6548
935,Koesea Baugesellschaft,Germany,Construction & Engineering,169.1,39.1,4854673.0,1803869.0,50,26,2019,DEU,3735278366.0,83797985,3824049172030.187
936,F.M. Trasporti,Italy,Logistics & Transportation,169.1,39.1,22718611.0,8443711.0,216,80,1992,ITA,6072359015.0,58940425,1919988802837.6548
937,Landbay,UK,Fintech Financial Services & Insurance,168.5,39.0,24327445.0,9496781.0,145,97,2013,GBR,5744139508.0,66971395,2893534419072.2114
938,DBM,Germany,Waste management & recycling,168.3,39.0,4296426.0,1601327.0,100,50,2018,DEU,3735278366.0,83797985,3824049172030.187
939,Eesti Metsameister,Estonia,Agriculture Forestry & Fishing,168.2,38.9,18990005.0,7079752.0,25,12,2012,EST,1094470216.0,1348840,35689031498.24531
940,Investmentpunk Academy,Austria,Education & Social Services,168.2,38.9,4512172.0,1682414.0,9,10,2016,AUT,214480483.0,9041851,441131302787.4191
941,Hanse Mondial,Germany,Hospitality & Travel,168.2,38.9,10779819.0,4019584.0,52,21,2017,DEU,3735278366.0,83797985,3824049172030.187
942,Woodrow,UK,Advertising & Marketing,168.1,38.9,2579115.0,1008279.0,24,4,2018,GBR,5744139508.0,66971395,2893534419072.2114
943,Nicolis Project,Italy,IT & Software,167.9,38.9,40909665.0,15268183.0,45,40,2006,ITA,6072359015.0,58940425,1919988802837.6548
944,isg Express Logistik,Germany,Logistics & Transportation,167.8,38.9,14992623.0,5599281.0,64,24,2011,DEU,3735278366.0,83797985,3824049172030.187
945,Bail Art,France,Leisure & Entertainment,167.7,38.9,15080076.0,5633147.0,11,4,2009,FRA,3336947062.0,67971311,2603175697935.03
946,Project X Paris,France,Apparel & Fashion,167.7,38.8,50106146.0,18719367.0,210,130,2013,FRA,3336947062.0,67971311,2603175697935.03
947,Podium Advanced Technologies,Italy,Automotive,167.6,38.8,24943348.0,9320561.0,65,31,2011,ITA,6072359015.0,58940425,1919988802837.6548
948,Ruffato Mario,Italy,Construction & Engineering,167.4,38.8,24335100.0,9101518.0,33,35,1950,ITA,6072359015.0,58940425,1919988802837.6548
949,mcule.com,Hungary,Chemicals,167.2,38.8,3900562.0,1766398.0,27,19,2011,HUN,240441941.0,9643048,166111976935.68777
950,Ad’s up Consulting,France,Advertising & Marketing,167.0,38.7,19990000.0,7487000.0,130,66,2012,FRA,3336947062.0,67971311,2603175697935.03
951,therapiezentrum.com,Germany,Health Care & Life Sciences,166.6,38.7,5759621.0,2160000.0,111,47,2017,DEU,3735278366.0,83797985,3824049172030.187
952,Smart People,Italy,Energy & Utilities,166.6,38.7,9787130.0,3671095.0,29,9,2017,ITA,6072359015.0,58940425,1919988802837.6548
953,Lbi Cooperative,France,Health Care & Life Sciences,166.5,38.6,189816363.0,71223047.0,12,11,1998,FRA,3336947062.0,67971311,2603175697935.03
954,Schropp,Germany,Wholesale,166.3,38.6,6555846.0,2461612.0,1,1,2019,DEU,3735278366.0,83797985,3824049172030.187
955,Active Technologies,Italy,Manufacturing,166.1,38.6,3180069.0,1194974.0,14,9,2003,ITA,6072359015.0,58940425,1919988802837.6548
956,Care to Beauty,Portugal,Retail,165.8,38.5,17556712.0,6605761.0,47,22,2015,PRT,1657826442.0,10409704,239042712346.92288
957,Blue Ocean Finance,Italy,Management Consulting,165.6,38.5,2615553.0,984776.0,10,12,2018,ITA,6072359015.0,58940425,1919988802837.6548
958,Syntio,Croatia,IT & Software,165.1,38.4,5588129.0,2108296.0,81,17,2017,HRV,45889717.0,3855600,67067766507.33766
959,DyFlowing,Italy,IT & Software,164.6,38.3,4354941.0,1645954.0,65,20,2016,ITA,6072359015.0,58940425,1919988802837.6548
960,I-Vet,Italy,Pharmaceuticals & Cosmetics,164.3,38.3,4354509.0,1647383.0,22,15,2012,ITA,6072359015.0,58940425,1919988802837.6548
961,Mi Tienda de Arte,Spain,Ecommerce,164.2,38.2,21995290.0,8325228.0,62,32,2013,ESP,1443070953.0,47778340,1328053696748.224
962,Obel Natursteine,Germany,Construction & Engineering,164.2,38.2,3978636.0,1505935.0,24,7,1997,DEU,3735278366.0,83797985,3824049172030.187
963,I.T.E.,Italy,Energy & Utilities,164.0,38.2,17880984.0,6772775.0,35,37,2012,ITA,6072359015.0,58940425,1919988802837.6548
964,RTB House,Poland,Advertising & Marketing,163.7,38.2,408593933.0,171231675.0,1254,576,2013,POL,1863345656.0,36821749,644566697354.571
965,Plug In Digital,France,Leisure & Entertainment,163.1,38.0,24389362.0,9270859.0,50,21,2012,FRA,3336947062.0,67971311,2603175697935.03
966,Claranet,Italy,IT & Software,163.0,38.0,7200587.0,2737397.0,45,40,2016,ITA,6072359015.0,58940425,1919988802837.6548
967,Écomiam,France,Retail,162.9,38.0,38636421.0,14698832.0,56,32,2009,FRA,3336947062.0,67971311,2603175697935.03
968,Celeste,France,Media & Telecommunications,162.6,38.0,123280000.0,46946000.0,617,121,2001,FRA,3336947062.0,67971311,2603175697935.03
969,Burgez,Italy,Food & Beverages,162.4,37.9,11947613.0,4552811.0,155,76,2015,ITA,6072359015.0,58940425,1919988802837.6548
970,Discoup.com,Italy,Advertising & Marketing,162.4,37.9,3918633.0,1493252.0,17,6,2013,ITA,6072359015.0,58940425,1919988802837.6548
971,K&R Ausbauteam,Germany,Construction & Engineering,161.9,37.8,17730000.0,6768699.0,58,30,2015,DEU,3735278366.0,83797985,3824049172030.187
972,Power Plus Communications (PPC),Germany,Media & Telecommunications,161.9,37.8,31717138.0,12108618.0,90,76,2000,DEU,3735278366.0,83797985,3824049172030.187
973,TMC,Germany,Wholesale,161.6,37.8,13947780.0,5330940.0,9,3,2008,DEU,3735278366.0,83797985,3824049172030.187
974,Waldkraft,Germany,Manufacturing,161.2,37.7,3639459.0,1393475.0,39,18,2017,DEU,3735278366.0,83797985,3824049172030.187
975,Hemisphere,France,Real Estate,161.1,37.7,7257834.0,2779866.0,12,6,2017,FRA,3336947062.0,67971311,2603175697935.03
976,Leomed,Italy,Wholesale,160.9,37.7,1857200.0,711728.0,3,3,1989,ITA,6072359015.0,58940425,1919988802837.6548
977,Piwik Pro,Poland,IT & Software,160.9,37.7,7666013.0,3247241.0,5,1,2013,POL,1863345656.0,36821749,644566697354.571
978,Platform.sh,France,IT & Software,160.8,37.6,40164000.0,15402000.0,314,159,2014,FRA,3336947062.0,67971311,2603175697935.03
979,ODB Magneti,Italy,Manufacturing,160.7,37.6,2506972.0,961668.0,5,2,1989,ITA,6072359015.0,58940425,1919988802837.6548
980,Zanatta media group,Germany,Advertising & Marketing,160.3,37.6,14268601.0,5481643.0,14,12,2008,DEU,3735278366.0,83797985,3824049172030.187
981,Task Consumer Products,UK,Manufacturing,160.2,37.5,154627198.0,62272297.0,130,90,2008,GBR,5744139508.0,66971395,2893534419072.2114
982,Payment Assist,UK,Fintech Financial Services & Insurance,160.2,37.5,11416662.0,4599001.0,42,18,2013,GBR,5744139508.0,66971395,2893534419072.2114
983,Uprise,Croatia,IT & Software,160.1,37.5,1500174.0,576769.0,19,7,2017,HRV,45889717.0,3855600,67067766507.33766
984,Spotview,Italy,Advertising & Marketing,160.1,37.5,3379236.0,1299246.0,22,12,2006,ITA,6072359015.0,58940425,1919988802837.6548
985,Nature Dog,France,Retail,160.1,37.5,12200846.0,4691423.0,26,11,2011,FRA,3336947062.0,67971311,2603175697935.03
986,Lionard Luxury Real Estate,Italy,Real Estate,160.0,37.5,26813842.0,10312002.0,15,4,2008,ITA,6072359015.0,58940425,1919988802837.6548
987,Ipses,Italy,Mechanical & Plant Engineering,160.0,37.5,2603233.0,1001212.0,19,13,2003,ITA,6072359015.0,58940425,1919988802837.6548
988,OdeGam,France,Construction & Engineering,160.0,37.5,1684458.0,647949.0,22,12,2016,FRA,3336947062.0,67971311,2603175697935.03
989,Simply,UK,Fintech Financial Services & Insurance,159.8,37.5,48934702.0,19741807.0,123,93,2017,GBR,5744139508.0,66971395,2893534419072.2114
990,MHC,Germany,Employment Services,159.6,37.4,8988994.0,3463095.0,12,10,2018,DEU,3735278366.0,83797985,3824049172030.187
991,Jungle,Spain,Advertising & Marketing,159.2,37.4,19859444.0,7661576.0,191,80,2018,ESP,1443070953.0,47778340,1328053696748.224
992,Spiegel21.de,Germany,Ecommerce,159.1,37.3,18141615.0,7002533.0,180,60,2013,DEU,3735278366.0,83797985,3824049172030.187
993,Andorrano,Spain,Ecommerce,159.0,37.3,22390780.0,8645847.0,12,6,1968,ESP,1443070953.0,47778340,1328053696748.224
994,Beck Ingredients,Spain,Health Care & Life Sciences,158.7,37.3,15487712.0,5987469.0,8,5,2016,ESP,1443070953.0,47778340,1328053696748.224
995,Drukarnia piga,Poland,Ecommerce,158.5,37.2,10016701.0,4281372.0,110,60,2014,POL,1863345656.0,36821749,644566697354.571
996,Buffa Store,Italy,Wholesale,157.6,37.1,9495312.0,3686201.0,22,13,2012,ITA,6072359015.0,58940425,1919988802837.6548
997,Elettro A.M. S.a.s. Ardian Mezini & Co,Italy,Manufacturing,157.3,37.0,3508762.0,1363511.0,15,10,2006,ITA,6072359015.0,58940425,1919988802837.6548
998,La Financière d’Orion,France,Fintech Financial Services & Insurance,156.6,36.9,27202807.0,10599513.0,36,22,2009,FRA,3336947062.0,67971311,2603175697935.03
999,Gexx aeroSol,Germany,Energy & Utilities,156.6,36.9,19895278.0,7754329.0,128,47,2011,DEU,3735278366.0,83797985,3824049172030.187
1000,Rak Et Spa Services,France,Food & Beverages,156.5,36.9,16639248.0,6487824.0,22,10,2008,FRA,3336947062.0,67971311,2603175697935.03
